District,Attribute,Measure
Bangalore City,4 DOGRI - Total,277
Bangalore City,4 DOGRI - Male,200
Bangalore City,4 DOGRI - Female,77
Bangalore City,4 DOGRI - Rural,0
Bangalore City,4 DOGRI - Rural Male,0
Bangalore City,4 DOGRI - Rural Female,0
Bangalore City,4 DOGRI - Urban,277
Bangalore City,4 DOGRI - Urban Male,200
Bangalore City,4 DOGRI - Urban Female,77
Bangalore City,5 GUJARATI - Total,26811
Bangalore City,5 GUJARATI - Male,13881
Bangalore City,5 GUJARATI - Female,12930
Bangalore City,5 GUJARATI - Rural,0
Bangalore City,5 GUJARATI - Rural Male,0
Bangalore City,5 GUJARATI - Rural Female,0
Bangalore City,5 GUJARATI - Urban,26811
Bangalore City,5 GUJARATI - Urban Male,13881
Bangalore City,5 GUJARATI - Urban Female,12930
Bangalore City,6 HINDI - Total,168433
Bangalore City,6 HINDI - Male,97840
Bangalore City,6 HINDI - Female,70593
Bangalore City,6 HINDI - Rural,0
Bangalore City,6 HINDI - Rural Male,0
Bangalore City,6 HINDI - Rural Female,0
Bangalore City,6 HINDI - Urban,168433
Bangalore City,6 HINDI - Urban Male,97840
Bangalore City,6 HINDI - Urban Female,70593
Bangalore City,7 KANNADA - Total,1630149
Bangalore City,7 KANNADA - Male,852394
Bangalore City,7 KANNADA - Female,777755
Bangalore City,7 KANNADA - Rural,0
Bangalore City,7 KANNADA - Rural Male,0
Bangalore City,7 KANNADA - Rural Female,0
Bangalore City,7 KANNADA - Urban,1630149
Bangalore City,7 KANNADA - Urban Male,852394
Bangalore City,7 KANNADA - Urban Female,777755
Bangalore City,8 KASHMIRI - Total,987
Bangalore City,8 KASHMIRI - Male,536
Bangalore City,8 KASHMIRI - Female,451
Bangalore City,8 KASHMIRI - Rural,0
Bangalore City,8 KASHMIRI - Rural Male,0
Bangalore City,8 KASHMIRI - Rural Female,0
Bangalore City,8 KASHMIRI - Urban,987
Bangalore City,8 KASHMIRI - Urban Male,536
Bangalore City,8 KASHMIRI - Urban Female,451
Bangalore City,9 KONKANI - Total,39752
Bangalore City,9 KONKANI - Male,19622
Bangalore City,9 KONKANI - Female,20130
Bangalore City,9 KONKANI - Rural,0
Bangalore City,9 KONKANI - Rural Male,0
Bangalore City,9 KONKANI - Rural Female,0
Bangalore City,9 KONKANI - Urban,39752
Bangalore City,9 KONKANI - Urban Male,19622
Bangalore City,9 KONKANI - Urban Female,20130
Bangalore City,10 MAITHILI - Total,181
Bangalore City,10 MAITHILI - Male,122
Bangalore City,10 MAITHILI - Female,59
Bangalore City,10 MAITHILI - Rural,0
Bangalore City,10 MAITHILI - Rural Male,0
Bangalore City,10 MAITHILI - Rural Female,0
Bangalore City,10 MAITHILI - Urban,181
Bangalore City,10 MAITHILI - Urban Male,122
Bangalore City,10 MAITHILI - Urban Female,59
Bangalore City,11 MALAYALAM - Total,125820
Bangalore City,11 MALAYALAM - Male,68397
Bangalore City,11 MALAYALAM - Female,57423
Bangalore City,11 MALAYALAM - Rural,0
Bangalore City,11 MALAYALAM - Rural Male,0
Bangalore City,11 MALAYALAM - Rural Female,0
Bangalore City,11 MALAYALAM - Urban,125820
Bangalore City,11 MALAYALAM - Urban Male,68397
Bangalore City,11 MALAYALAM - Urban Female,57423
Bangalore City,12 MANIPURI - Total,524
Bangalore City,12 MANIPURI - Male,352
Bangalore City,12 MANIPURI - Female,172
Bangalore City,12 MANIPURI - Rural,0
Bangalore City,12 MANIPURI - Rural Male,0
Bangalore City,12 MANIPURI - Rural Female,0
Bangalore City,12 MANIPURI - Urban,524
Bangalore City,12 MANIPURI - Urban Male,352
Bangalore City,12 MANIPURI - Urban Female,172
Bangalore City,13 MARATHI - Total,113944
Bangalore City,13 MARATHI - Male,58337
Bangalore City,13 MARATHI - Female,55607
Bangalore City,13 MARATHI - Rural,0
Bangalore City,13 MARATHI - Rural Male,0
Bangalore City,13 MARATHI - Rural Female,0
Bangalore City,13 MARATHI - Urban,113944
Bangalore City,13 MARATHI - Urban Male,58337
Bangalore City,13 MARATHI - Urban Female,55607
Bangalore City,14 NEPALI - Total,2951
Bangalore City,14 NEPALI - Male,1772
Bangalore City,14 NEPALI - Female,1179
Bangalore City,14 NEPALI - Rural,0
Bangalore City,14 NEPALI - Rural Male,0
Bangalore City,14 NEPALI - Rural Female,0
Bangalore City,14 NEPALI - Urban,2951
Bangalore City,14 NEPALI - Urban Male,1772
Bangalore City,14 NEPALI - Urban Female,1179
Bangalore City,15 ORIYA - Total,4990
Bangalore City,15 ORIYA - Male,3807
Bangalore City,15 ORIYA - Female,1183
Bangalore City,15 ORIYA - Rural,0
Bangalore City,15 ORIYA - Rural Male,0
Bangalore City,15 ORIYA - Rural Female,0
Bangalore City,15 ORIYA - Urban,4990
Bangalore City,15 ORIYA - Urban Male,3807
Bangalore City,15 ORIYA - Urban Female,1183
Bangalore City,16 PUNJABI - Total,8373
Bangalore City,16 PUNJABI - Male,4531
Bangalore City,16 PUNJABI - Female,3842
Bangalore City,16 PUNJABI - Rural,0
Bangalore City,16 PUNJABI - Rural Male,0
Bangalore City,16 PUNJABI - Rural Female,0
Bangalore City,16 PUNJABI - Urban,8373
Bangalore City,16 PUNJABI - Urban Male,4531
Bangalore City,16 PUNJABI - Urban Female,3842
Bangalore City,17 SANSKRIT - Total,212
Bangalore City,17 SANSKRIT - Male,119
Bangalore City,17 SANSKRIT - Female,93
Bangalore City,17 SANSKRIT - Rural,0
Bangalore City,17 SANSKRIT - Rural Male,0
Bangalore City,17 SANSKRIT - Rural Female,0
Bangalore City,17 SANSKRIT - Urban,212
Bangalore City,17 SANSKRIT - Urban Male,119
Bangalore City,17 SANSKRIT - Urban Female,93
Bangalore City,18 SANTALI - Total,36
Bangalore City,18 SANTALI - Male,18
Bangalore City,18 SANTALI - Female,18
Bangalore City,18 SANTALI - Rural,0
Bangalore City,18 SANTALI - Rural Male,0
Bangalore City,18 SANTALI - Rural Female,0
Bangalore City,18 SANTALI - Urban,36
Bangalore City,18 SANTALI - Urban Male,18
Bangalore City,18 SANTALI - Urban Female,18
Bangalore City,19 SINDHI - Total,10099
Bangalore City,19 SINDHI - Male,4965
Bangalore City,19 SINDHI - Female,5134
Bangalore City,19 SINDHI - Rural,0
Bangalore City,19 SINDHI - Rural Male,0
Bangalore City,19 SINDHI - Rural Female,0
Bangalore City,19 SINDHI - Urban,10099
Bangalore City,19 SINDHI - Urban Male,4965
Bangalore City,19 SINDHI - Urban Female,5134
Bangalore City,20 TAMIL - Total,915913
Bangalore City,20 TAMIL - Male,468954
Bangalore City,20 TAMIL - Female,446959
Bangalore City,20 TAMIL - Rural,0
Bangalore City,20 TAMIL - Rural Male,0
Bangalore City,20 TAMIL - Rural Female,0
Bangalore City,20 TAMIL - Urban,915913
Bangalore City,20 TAMIL - Urban Male,468954
Bangalore City,20 TAMIL - Urban Female,446959
Bangalore City,21 TELUGU - Total,610884
Bangalore City,21 TELUGU - Male,314253
Bangalore City,21 TELUGU - Female,296631
Bangalore City,21 TELUGU - Rural,0
Bangalore City,21 TELUGU - Rural Male,0
Bangalore City,21 TELUGU - Rural Female,0
Bangalore City,21 TELUGU - Urban,610884
Bangalore City,21 TELUGU - Urban Male,314253
Bangalore City,21 TELUGU - Urban Female,296631
Bangalore City,22 URDU - Total,671869
Bangalore City,22 URDU - Male,348414
Bangalore City,22 URDU - Female,323455
Bangalore City,22 URDU - Rural,0
Bangalore City,22 URDU - Rural Male,0
Bangalore City,22 URDU - Rural Female,0
Bangalore City,22 URDU - Urban,671869
Bangalore City,22 URDU - Urban Male,348414
Bangalore City,22 URDU - Urban Female,323455
Bangalore City,23 ADI - Total,17
Bangalore City,23 ADI - Male,13
Bangalore City,23 ADI - Female,4
Bangalore City,23 ADI - Rural,0
Bangalore City,23 ADI - Rural Male,0
Bangalore City,23 ADI - Rural Female,0
Bangalore City,23 ADI - Urban,17
Bangalore City,23 ADI - Urban Male,13
Bangalore City,23 ADI - Urban Female,4
Bangalore City,25 ANAL - Total,1
Bangalore City,25 ANAL - Male,1
Bangalore City,25 ANAL - Female,0
Bangalore City,25 ANAL - Rural,0
Bangalore City,25 ANAL - Rural Male,0
Bangalore City,25 ANAL - Rural Female,0
Bangalore City,25 ANAL - Urban,1
Bangalore City,25 ANAL - Urban Male,1
Bangalore City,25 ANAL - Urban Female,0
Bangalore City,26 ANGAMI - Total,9
Bangalore City,26 ANGAMI - Male,3
Bangalore City,26 ANGAMI - Female,6
Bangalore City,26 ANGAMI - Rural,0
Bangalore City,26 ANGAMI - Rural Male,0
Bangalore City,26 ANGAMI - Rural Female,0
Bangalore City,26 ANGAMI - Urban,9
Bangalore City,26 ANGAMI - Urban Male,3
Bangalore City,26 ANGAMI - Urban Female,6
Bangalore City,27 AO - Total,13
Bangalore City,27 AO - Male,5
Bangalore City,27 AO - Female,8
Bangalore City,27 AO - Rural,0
Bangalore City,27 AO - Rural Male,0
Bangalore City,27 AO - Rural Female,0
Bangalore City,27 AO - Urban,13
Bangalore City,27 AO - Urban Male,5
Bangalore City,27 AO - Urban Female,8
Bangalore City,28 ARABIC/ARBI - Total,405
Bangalore City,28 ARABIC/ARBI - Male,262
Bangalore City,28 ARABIC/ARBI - Female,143
Bangalore City,28 ARABIC/ARBI - Rural,0
Bangalore City,28 ARABIC/ARBI - Rural Male,0
Bangalore City,28 ARABIC/ARBI - Rural Female,0
Bangalore City,28 ARABIC/ARBI - Urban,405
Bangalore City,28 ARABIC/ARBI - Urban Male,262
Bangalore City,28 ARABIC/ARBI - Urban Female,143
Bangalore City,30 BHILI/BHILODI - Total,37
Bangalore City,30 BHILI/BHILODI - Male,18
Bangalore City,30 BHILI/BHILODI - Female,19
Bangalore City,30 BHILI/BHILODI - Rural,0
Bangalore City,30 BHILI/BHILODI - Rural Male,0
Bangalore City,30 BHILI/BHILODI - Rural Female,0
Bangalore City,30 BHILI/BHILODI - Urban,37
Bangalore City,30 BHILI/BHILODI - Urban Male,18
Bangalore City,30 BHILI/BHILODI - Urban Female,19
Bangalore City,31 BHOTIA - Total,4
Bangalore City,31 BHOTIA - Male,1
Bangalore City,31 BHOTIA - Female,3
Bangalore City,31 BHOTIA - Rural,0
Bangalore City,31 BHOTIA - Rural Male,0
Bangalore City,31 BHOTIA - Rural Female,0
Bangalore City,31 BHOTIA - Urban,4
Bangalore City,31 BHOTIA - Urban Male,1
Bangalore City,31 BHOTIA - Urban Female,3
Bangalore City,33 BISHNUPURIYA - Total,1
Bangalore City,33 BISHNUPURIYA - Male,1
Bangalore City,33 BISHNUPURIYA - Female,0
Bangalore City,33 BISHNUPURIYA - Rural,0
Bangalore City,33 BISHNUPURIYA - Rural Male,0
Bangalore City,33 BISHNUPURIYA - Rural Female,0
Bangalore City,33 BISHNUPURIYA - Urban,1
Bangalore City,33 BISHNUPURIYA - Urban Male,1
Bangalore City,33 BISHNUPURIYA - Urban Female,0
Bangalore City,36 CHANG - Total,2
Bangalore City,36 CHANG - Male,0
Bangalore City,36 CHANG - Female,2
Bangalore City,36 CHANG - Rural,0
Bangalore City,36 CHANG - Rural Male,0
Bangalore City,36 CHANG - Rural Female,0
Bangalore City,36 CHANG - Urban,2
Bangalore City,36 CHANG - Urban Male,0
Bangalore City,36 CHANG - Urban Female,2
Bangalore City,37 COORGI/KODAGU - Total,10325
Bangalore City,37 COORGI/KODAGU - Male,5050
Bangalore City,37 COORGI/KODAGU - Female,5275
Bangalore City,37 COORGI/KODAGU - Rural,0
Bangalore City,37 COORGI/KODAGU - Rural Male,0
Bangalore City,37 COORGI/KODAGU - Rural Female,0
Bangalore City,37 COORGI/KODAGU - Urban,10325
Bangalore City,37 COORGI/KODAGU - Urban Male,5050
Bangalore City,37 COORGI/KODAGU - Urban Female,5275
Bangalore City,39 DIMASA - Total,1
Bangalore City,39 DIMASA - Male,0
Bangalore City,39 DIMASA - Female,1
Bangalore City,39 DIMASA - Rural,0
Bangalore City,39 DIMASA - Rural Male,0
Bangalore City,39 DIMASA - Rural Female,0
Bangalore City,39 DIMASA - Urban,1
Bangalore City,39 DIMASA - Urban Male,0
Bangalore City,39 DIMASA - Urban Female,1
Bangalore City,40 ENGLISH - Total,10793
Bangalore City,40 ENGLISH - Male,5256
Bangalore City,40 ENGLISH - Female,5537
Bangalore City,40 ENGLISH - Rural,0
Bangalore City,40 ENGLISH - Rural Male,0
Bangalore City,40 ENGLISH - Rural Female,0
Bangalore City,40 ENGLISH - Urban,10793
Bangalore City,40 ENGLISH - Urban Male,5256
Bangalore City,40 ENGLISH - Urban Female,5537
Bangalore City,41 GADABA - Total,1
Bangalore City,41 GADABA - Male,1
Bangalore City,41 GADABA - Female,0
Bangalore City,41 GADABA - Rural,0
Bangalore City,41 GADABA - Rural Male,0
Bangalore City,41 GADABA - Rural Female,0
Bangalore City,41 GADABA - Urban,1
Bangalore City,41 GADABA - Urban Male,1
Bangalore City,41 GADABA - Urban Female,0
Bangalore City,43 GARO - Total,2
Bangalore City,43 GARO - Male,1
Bangalore City,43 GARO - Female,1
Bangalore City,43 GARO - Rural,0
Bangalore City,43 GARO - Rural Male,0
Bangalore City,43 GARO - Rural Female,0
Bangalore City,43 GARO - Urban,2
Bangalore City,43 GARO - Urban Male,1
Bangalore City,43 GARO - Urban Female,1
Bangalore City,44 GONDI - Total,4
Bangalore City,44 GONDI - Male,4
Bangalore City,44 GONDI - Female,0
Bangalore City,44 GONDI - Rural,0
Bangalore City,44 GONDI - Rural Male,0
Bangalore City,44 GONDI - Rural Female,0
Bangalore City,44 GONDI - Urban,4
Bangalore City,44 GONDI - Urban Male,4
Bangalore City,44 GONDI - Urban Female,0
Bangalore City,46 HALAM - Total,2
Bangalore City,46 HALAM - Male,2
Bangalore City,46 HALAM - Female,0
Bangalore City,46 HALAM - Rural,0
Bangalore City,46 HALAM - Rural Male,0
Bangalore City,46 HALAM - Rural Female,0
Bangalore City,46 HALAM - Urban,2
Bangalore City,46 HALAM - Urban Male,2
Bangalore City,46 HALAM - Urban Female,0
Bangalore City,48 HO - Total,5
Bangalore City,48 HO - Male,4
Bangalore City,48 HO - Female,1
Bangalore City,48 HO - Rural,0
Bangalore City,48 HO - Rural Male,0
Bangalore City,48 HO - Rural Female,0
Bangalore City,48 HO - Urban,5
Bangalore City,48 HO - Urban Male,4
Bangalore City,48 HO - Urban Female,1
Bangalore City,49 JATAPU - Total,1
Bangalore City,49 JATAPU - Male,1
Bangalore City,49 JATAPU - Female,0
Bangalore City,49 JATAPU - Rural,0
Bangalore City,49 JATAPU - Rural Male,0
Bangalore City,49 JATAPU - Rural Female,0
Bangalore City,49 JATAPU - Urban,1
Bangalore City,49 JATAPU - Urban Male,1
Bangalore City,49 JATAPU - Urban Female,0
Bangalore City,51 KABUI - Total,23
Bangalore City,51 KABUI - Male,16
Bangalore City,51 KABUI - Female,7
Bangalore City,51 KABUI - Rural,0
Bangalore City,51 KABUI - Rural Male,0
Bangalore City,51 KABUI - Rural Female,0
Bangalore City,51 KABUI - Urban,23
Bangalore City,51 KABUI - Urban Male,16
Bangalore City,51 KABUI - Urban Female,7
Bangalore City,54 KHARIA - Total,6
Bangalore City,54 KHARIA - Male,3
Bangalore City,54 KHARIA - Female,3
Bangalore City,54 KHARIA - Rural,0
Bangalore City,54 KHARIA - Rural Male,0
Bangalore City,54 KHARIA - Rural Female,0
Bangalore City,54 KHARIA - Urban,6
Bangalore City,54 KHARIA - Urban Male,3
Bangalore City,54 KHARIA - Urban Female,3
Bangalore City,55 KHASI - Total,49
Bangalore City,55 KHASI - Male,22
Bangalore City,55 KHASI - Female,27
Bangalore City,55 KHASI - Rural,0
Bangalore City,55 KHASI - Rural Male,0
Bangalore City,55 KHASI - Rural Female,0
Bangalore City,55 KHASI - Urban,49
Bangalore City,55 KHASI - Urban Male,22
Bangalore City,55 KHASI - Urban Female,27
Bangalore City,59 KINNAURI - Total,1
Bangalore City,59 KINNAURI - Male,1
Bangalore City,59 KINNAURI - Female,0
Bangalore City,59 KINNAURI - Rural,0
Bangalore City,59 KINNAURI - Rural Male,0
Bangalore City,59 KINNAURI - Rural Female,0
Bangalore City,59 KINNAURI - Urban,1
Bangalore City,59 KINNAURI - Urban Male,1
Bangalore City,59 KINNAURI - Urban Female,0
Bangalore City,62 KODA/KORA - Total,10
Bangalore City,62 KODA/KORA - Male,3
Bangalore City,62 KODA/KORA - Female,7
Bangalore City,62 KODA/KORA - Rural,0
Bangalore City,62 KODA/KORA - Rural Male,0
Bangalore City,62 KODA/KORA - Rural Female,0
Bangalore City,62 KODA/KORA - Urban,10
Bangalore City,62 KODA/KORA - Urban Male,3
Bangalore City,62 KODA/KORA - Urban Female,7
Bangalore City,64 KOM - Total,7
Bangalore City,64 KOM - Male,7
Bangalore City,64 KOM - Female,0
Bangalore City,64 KOM - Rural,0
Bangalore City,64 KOM - Rural Male,0
Bangalore City,64 KOM - Rural Female,0
Bangalore City,64 KOM - Urban,7
Bangalore City,64 KOM - Urban Male,7
Bangalore City,64 KOM - Urban Female,0
Bangalore City,68 KORWA - Total,24
Bangalore City,68 KORWA - Male,3
Bangalore City,68 KORWA - Female,21
Bangalore City,68 KORWA - Rural,0
Bangalore City,68 KORWA - Rural Male,0
Bangalore City,68 KORWA - Rural Female,0
Bangalore City,68 KORWA - Urban,24
Bangalore City,68 KORWA - Urban Male,3
Bangalore City,68 KORWA - Urban Female,21
Bangalore City,69 KOYA - Total,1
Bangalore City,69 KOYA - Male,0
Bangalore City,69 KOYA - Female,1
Bangalore City,69 KOYA - Rural,0
Bangalore City,69 KOYA - Rural Male,0
Bangalore City,69 KOYA - Rural Female,0
Bangalore City,69 KOYA - Urban,1
Bangalore City,69 KOYA - Urban Male,0
Bangalore City,69 KOYA - Urban Female,1
Bangalore City,71 KUKI - Total,5
Bangalore City,71 KUKI - Male,3
Bangalore City,71 KUKI - Female,2
Bangalore City,71 KUKI - Rural,0
Bangalore City,71 KUKI - Rural Male,0
Bangalore City,71 KUKI - Rural Female,0
Bangalore City,71 KUKI - Urban,5
Bangalore City,71 KUKI - Urban Male,3
Bangalore City,71 KUKI - Urban Female,2
Bangalore City,72 KURUKH/ORAON - Total,12
Bangalore City,72 KURUKH/ORAON - Male,4
Bangalore City,72 KURUKH/ORAON - Female,8
Bangalore City,72 KURUKH/ORAON - Rural,0
Bangalore City,72 KURUKH/ORAON - Rural Male,0
Bangalore City,72 KURUKH/ORAON - Rural Female,0
Bangalore City,72 KURUKH/ORAON - Urban,12
Bangalore City,72 KURUKH/ORAON - Urban Male,4
Bangalore City,72 KURUKH/ORAON - Urban Female,8
Bangalore City,73 LADAKHI - Total,51
Bangalore City,73 LADAKHI - Male,50
Bangalore City,73 LADAKHI - Female,1
Bangalore City,73 LADAKHI - Rural,0
Bangalore City,73 LADAKHI - Rural Male,0
Bangalore City,73 LADAKHI - Rural Female,0
Bangalore City,73 LADAKHI - Urban,51
Bangalore City,73 LADAKHI - Urban Male,50
Bangalore City,73 LADAKHI - Urban Female,1
Bangalore City,74 LAHAULI - Total,1
Bangalore City,74 LAHAULI - Male,1
Bangalore City,74 LAHAULI - Female,0
Bangalore City,74 LAHAULI - Rural,0
Bangalore City,74 LAHAULI - Rural Male,0
Bangalore City,74 LAHAULI - Rural Female,0
Bangalore City,74 LAHAULI - Urban,1
Bangalore City,74 LAHAULI - Urban Male,1
Bangalore City,74 LAHAULI - Urban Female,0
Bangalore City,75 LAHNDA - Total,6
Bangalore City,75 LAHNDA - Male,4
Bangalore City,75 LAHNDA - Female,2
Bangalore City,75 LAHNDA - Rural,0
Bangalore City,75 LAHNDA - Rural Male,0
Bangalore City,75 LAHNDA - Rural Female,0
Bangalore City,75 LAHNDA - Urban,6
Bangalore City,75 LAHNDA - Urban Male,4
Bangalore City,75 LAHNDA - Urban Female,2
Bangalore City,78 LEPCHA - Total,1
Bangalore City,78 LEPCHA - Male,1
Bangalore City,78 LEPCHA - Female,0
Bangalore City,78 LEPCHA - Rural,0
Bangalore City,78 LEPCHA - Rural Male,0
Bangalore City,78 LEPCHA - Rural Female,0
Bangalore City,78 LEPCHA - Urban,1
Bangalore City,78 LEPCHA - Urban Male,1
Bangalore City,78 LEPCHA - Urban Female,0
Bangalore City,79 LIANGMEI - Total,5
Bangalore City,79 LIANGMEI - Male,3
Bangalore City,79 LIANGMEI - Female,2
Bangalore City,79 LIANGMEI - Rural,0
Bangalore City,79 LIANGMEI - Rural Male,0
Bangalore City,79 LIANGMEI - Rural Female,0
Bangalore City,79 LIANGMEI - Urban,5
Bangalore City,79 LIANGMEI - Urban Male,3
Bangalore City,79 LIANGMEI - Urban Female,2
Bangalore City,81 LOTHA - Total,24
Bangalore City,81 LOTHA - Male,15
Bangalore City,81 LOTHA - Female,9
Bangalore City,81 LOTHA - Rural,0
Bangalore City,81 LOTHA - Rural Male,0
Bangalore City,81 LOTHA - Rural Female,0
Bangalore City,81 LOTHA - Urban,24
Bangalore City,81 LOTHA - Urban Male,15
Bangalore City,81 LOTHA - Urban Female,9
Bangalore City,82 LUSHAI/MIZO - Total,133
Bangalore City,82 LUSHAI/MIZO - Male,63
Bangalore City,82 LUSHAI/MIZO - Female,70
Bangalore City,82 LUSHAI/MIZO - Rural,0
Bangalore City,82 LUSHAI/MIZO - Rural Male,0
Bangalore City,82 LUSHAI/MIZO - Rural Female,0
Bangalore City,82 LUSHAI/MIZO - Urban,133
Bangalore City,82 LUSHAI/MIZO - Urban Male,63
Bangalore City,82 LUSHAI/MIZO - Urban Female,70
Bangalore City,84 MARAM - Total,4
Bangalore City,84 MARAM - Male,2
Bangalore City,84 MARAM - Female,2
Bangalore City,84 MARAM - Rural,0
Bangalore City,84 MARAM - Rural Male,0
Bangalore City,84 MARAM - Rural Female,0
Bangalore City,84 MARAM - Urban,4
Bangalore City,84 MARAM - Urban Male,2
Bangalore City,84 MARAM - Urban Female,2
Bangalore City,86 MIRI/MISHING - Total,1
Bangalore City,86 MIRI/MISHING - Male,1
Bangalore City,86 MIRI/MISHING - Female,0
Bangalore City,86 MIRI/MISHING - Rural,0
Bangalore City,86 MIRI/MISHING - Rural Male,0
Bangalore City,86 MIRI/MISHING - Rural Female,0
Bangalore City,86 MIRI/MISHING - Urban,1
Bangalore City,86 MIRI/MISHING - Urban Male,1
Bangalore City,86 MIRI/MISHING - Urban Female,0
Bangalore City,87 MISHMI - Total,3
Bangalore City,87 MISHMI - Male,2
Bangalore City,87 MISHMI - Female,1
Bangalore City,87 MISHMI - Rural,0
Bangalore City,87 MISHMI - Rural Male,0
Bangalore City,87 MISHMI - Rural Female,0
Bangalore City,87 MISHMI - Urban,3
Bangalore City,87 MISHMI - Urban Male,2
Bangalore City,87 MISHMI - Urban Female,1
Bangalore City,88 MOGH - Total,1
Bangalore City,88 MOGH - Male,1
Bangalore City,88 MOGH - Female,0
Bangalore City,88 MOGH - Rural,0
Bangalore City,88 MOGH - Rural Male,0
Bangalore City,88 MOGH - Rural Female,0
Bangalore City,88 MOGH - Urban,1
Bangalore City,88 MOGH - Urban Male,1
Bangalore City,88 MOGH - Urban Female,0
Bangalore City,89 MONPA - Total,1
Bangalore City,89 MONPA - Male,0
Bangalore City,89 MONPA - Female,1
Bangalore City,89 MONPA - Rural,0
Bangalore City,89 MONPA - Rural Male,0
Bangalore City,89 MONPA - Rural Female,0
Bangalore City,89 MONPA - Urban,1
Bangalore City,89 MONPA - Urban Male,0
Bangalore City,89 MONPA - Urban Female,1
Bangalore City,90 MUNDA - Total,6
Bangalore City,90 MUNDA - Male,4
Bangalore City,90 MUNDA - Female,2
Bangalore City,90 MUNDA - Rural,0
Bangalore City,90 MUNDA - Rural Male,0
Bangalore City,90 MUNDA - Rural Female,0
Bangalore City,90 MUNDA - Urban,6
Bangalore City,90 MUNDA - Urban Male,4
Bangalore City,90 MUNDA - Urban Female,2
Bangalore City,91 MUNDARI - Total,3
Bangalore City,91 MUNDARI - Male,2
Bangalore City,91 MUNDARI - Female,1
Bangalore City,91 MUNDARI - Rural,0
Bangalore City,91 MUNDARI - Rural Male,0
Bangalore City,91 MUNDARI - Rural Female,0
Bangalore City,91 MUNDARI - Urban,3
Bangalore City,91 MUNDARI - Urban Male,2
Bangalore City,91 MUNDARI - Urban Female,1
Bangalore City,93 NISSI/DAFLA - Total,1
Bangalore City,93 NISSI/DAFLA - Male,1
Bangalore City,93 NISSI/DAFLA - Female,0
Bangalore City,93 NISSI/DAFLA - Rural,0
Bangalore City,93 NISSI/DAFLA - Rural Male,0
Bangalore City,93 NISSI/DAFLA - Rural Female,0
Bangalore City,93 NISSI/DAFLA - Urban,1
Bangalore City,93 NISSI/DAFLA - Urban Male,1
Bangalore City,93 NISSI/DAFLA - Urban Female,0
Bangalore City,95 PAITE - Total,2
Bangalore City,95 PAITE - Male,0
Bangalore City,95 PAITE - Female,2
Bangalore City,95 PAITE - Rural,0
Bangalore City,95 PAITE - Rural Male,0
Bangalore City,95 PAITE - Rural Female,0
Bangalore City,95 PAITE - Urban,2
Bangalore City,95 PAITE - Urban Male,0
Bangalore City,95 PAITE - Urban Female,2
Bangalore City,98 PERSIAN - Total,52
Bangalore City,98 PERSIAN - Male,27
Bangalore City,98 PERSIAN - Female,25
Bangalore City,98 PERSIAN - Rural,0
Bangalore City,98 PERSIAN - Rural Male,0
Bangalore City,98 PERSIAN - Rural Female,0
Bangalore City,98 PERSIAN - Urban,52
Bangalore City,98 PERSIAN - Urban Male,27
Bangalore City,98 PERSIAN - Urban Female,25
Bangalore City,100 POCHURY - Total,1
Bangalore City,100 POCHURY - Male,1
Bangalore City,100 POCHURY - Female,0
Bangalore City,100 POCHURY - Rural,0
Bangalore City,100 POCHURY - Rural Male,0
Bangalore City,100 POCHURY - Rural Female,0
Bangalore City,100 POCHURY - Urban,1
Bangalore City,100 POCHURY - Urban Male,1
Bangalore City,100 POCHURY - Urban Female,0
Bangalore City,101 RABHA - Total,1
Bangalore City,101 RABHA - Male,1
Bangalore City,101 RABHA - Female,0
Bangalore City,101 RABHA - Rural,0
Bangalore City,101 RABHA - Rural Male,0
Bangalore City,101 RABHA - Rural Female,0
Bangalore City,101 RABHA - Urban,1
Bangalore City,101 RABHA - Urban Male,1
Bangalore City,101 RABHA - Urban Female,0
Bangalore City,102 RAI - Total,1
Bangalore City,102 RAI - Male,0
Bangalore City,102 RAI - Female,1
Bangalore City,102 RAI - Rural,0
Bangalore City,102 RAI - Rural Male,0
Bangalore City,102 RAI - Rural Female,0
Bangalore City,102 RAI - Urban,1
Bangalore City,102 RAI - Urban Male,0
Bangalore City,102 RAI - Urban Female,1
Bangalore City,106 SEMA - Total,5
Bangalore City,106 SEMA - Male,5
Bangalore City,106 SEMA - Female,0
Bangalore City,106 SEMA - Rural,0
Bangalore City,106 SEMA - Rural Male,0
Bangalore City,106 SEMA - Rural Female,0
Bangalore City,106 SEMA - Urban,5
Bangalore City,106 SEMA - Urban Male,5
Bangalore City,106 SEMA - Urban Female,0
Bangalore City,108 SHINA - Total,4
Bangalore City,108 SHINA - Male,3
Bangalore City,108 SHINA - Female,1
Bangalore City,108 SHINA - Rural,0
Bangalore City,108 SHINA - Rural Male,0
Bangalore City,108 SHINA - Rural Female,0
Bangalore City,108 SHINA - Urban,4
Bangalore City,108 SHINA - Urban Male,3
Bangalore City,108 SHINA - Urban Female,1
Bangalore City,110 TAMANG - Total,2
Bangalore City,110 TAMANG - Male,2
Bangalore City,110 TAMANG - Female,0
Bangalore City,110 TAMANG - Rural,0
Bangalore City,110 TAMANG - Rural Male,0
Bangalore City,110 TAMANG - Rural Female,0
Bangalore City,110 TAMANG - Urban,2
Bangalore City,110 TAMANG - Urban Male,2
Bangalore City,110 TAMANG - Urban Female,0
Bangalore City,111 TANGKHUL - Total,4
Bangalore City,111 TANGKHUL - Male,2
